variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
L-sma200-rsi3<5-rsi,L,sma200,3,5,rsi,OOS,252,0.6626984126984127,0.010186086350118136,1.6299503540086309,9.61111111111111,0.13095238095238096,0.07253579665677878,-0.10764037523152337,1.059407408050959,0.17725752508361203,0.4853691983944658
L-sma200-rsi3<5-chan,L,sma200,3,5,chan,IS,205,0.5902439024390244,0.0036952319099111484,1.1631977955422694,7.970731707317073,0.23414634146341465,0.011966947067553857,-0.10764645202490142,0.1737880475919246,0.13994708994708996,0.4663041115063716
L-sma200-rsi3<5-chan,L,sma200,3,5,chan,OOS,252,0.6785714285714286,0.010283163455293454,1.680099124133204,8.484126984126984,0.12698412698412698,0.07081360479952714,-0.10333080586429622,1.1210906019205695,0.16042363433667783,0.49751607329158476
L-sma200-rsi3<5-sma5+choch,L,sma200,3,5,sma5+choch,IS,210,0.6523809523809524,0.004726175215352425,1.3466912031477958,4.147619047619048,0.13333333333333333,0.027566595077050282,-0.08660276485444363,0.4633265581588227,0.07976190476190476,0.29595590537374405
L-sma200-rsi3<5-sma5+choch,L,sma200,3,5,sma5+choch,OOS,258,0.6976744186046512,0.007441010697403719,1.9160890543686697,4.391472868217054,0.03875968992248062,0.05339906623367785,-0.03444935726895826,1.1972626598725855,0.08561872909698998,0.4276689638198145
L-sma200-rsi3<5-time5,L,sma200,3,5,time5,IS,207,0.5700483091787439,0.009333774450468832,1.5751740954325213,6.492753623188406,0.14492753623188406,0.047022929401561386,-0.08632943295825402,0.5990713050229962,0.11785714285714285,0.38653661237373066
L-sma200-rsi3<5-time5,L,sma200,3,5,time5,OOS,254,0.6141732283464567,0.0111343185009941,1.9508722376538183,7.149606299212598,0.03937007874015748,0.08037975150941645,-0.051538366242648515,1.4163761168071585,0.13701226309921963,0.4547702708903505
L-sma200-rsi3<10-sma5,L,sma200,3,10,sma5,IS,639,0.6291079812206573,0.0031111646801072197,1.2224738679695857,4.77621283255086,0.14397496087636932,0.052853989634409126,-0.11365719438892052,0.5706089593008008,0.219973544973545,0.39549651955502696
L-sma200-rsi3<10-sma5,L,sma200,3,10,sma5,OOS,859,0.6356228172293364,0.006631971045572419,1.600451468792363,5.386495925494762,0.0779976717112922,0.13553258873184726,-0.09988579848083623,1.190718099628858,0.2959866220735786,0.5283167835370669
L-sma200-rsi3<10-rsi,L,sma200,3,10,rsi,IS,620,0.5951612903225807,0.002792028544830369,1.1321814288597587,8.825806451612904,0.22096774193548388,0.03210686335742663,-0.13748019514841314,0.30229814267350086,0.3543650793650794,0.5208600948205699
L-sma200-rsi3<10-rsi,L,sma200,3,10,rsi,OOS,824,0.6395631067961165,0.008164678418163113,1.4837960523850096,9.575242718446601,0.1395631067961165,0.12149043053020381,-0.12822900526441472,0.9710446261766494,0.4538461538461538,0.6103409883239687
L-sma200-rsi3<10-chan,L,sma200,3,10,chan,IS,621,0.5845410628019324,0.0023559406885391753,1.1141087576145032,8.666666666666666,0.21739130434782608,0.02811367741639903,-0.1423133406347119,0.27429967409421413,0.353042328042328,0.5181991909712514
L-sma200-rsi3<10-chan,L,sma200,3,10,chan,OOS,827,0.6239419588875453,0.00824716738792978,1.4949426122812741,9.513905683192261,0.1414752116082225,0.12564669778528859,-0.14364670887751851,1.0135640494263813,0.4576365663322185,0.61398308695221
L-sma200-rsi3<10-sma5+choch,L,sma200,3,10,sma5+choch,IS,664,0.6144578313253012,0.00236688499456813,1.1817343017940365,4.096385542168675,0.1144578313253012,0.052285140418981246,-0.09292654505389952,0.6014764679438682,0.20582010582010585,0.36296806110655083
L-sma200-rsi3<10-sma5+choch,L,sma200,3,10,sma5+choch,OOS,906,0.6147902869757175,0.005599151006470488,1.5640716273296122,4.454746136865342,0.059602649006622516,0.13082698632438383,-0.0689265965596716,1.197557238397481,0.26767001114827205,0.5060381853578183
L-sma200-rsi3<10-time5,L,sma200,3,10,time5,IS,649,0.5269645608628659,0.0026657393948412676,1.1513537627338601,6.657935285053929,0.1325115562403698,0.05330522315618591,-0.1197927261445626,0.4954217884539348,0.2965608465608466,0.4458333270909158
L-sma200-rsi3<10-time5,L,sma200,3,10,time5,OOS,863,0.5596755504055619,0.006818632669748295,1.5072230496788848,7.07531865585168,0.05793742757821553,0.11751689076209959,-0.08463285813881838,1.0448824826551153,0.3788182831661093,0.5760127238779972
L-sma200-rsi3<15-sma5,L,sma200,3,15,sma5,IS,1192,0.6417785234899329,0.0024828275606827146,1.1871352063168386,4.932046979865772,0.1325503355704698,0.024479161744336952,-0.16497381783761922,0.2603994944831832,0.36904761904761907,0.5235269202520556
L-sma200-rsi3<15-sma5,L,sma200,3,15,sma5,OOS,1622,0.6448828606658447,0.0066008616137176795,1.60000119943991,5.350184956843403,0.07583230579531443,0.22634245091097815,-0.14654375484069693,1.4109956181285241,0.46856187290969903,0.5783094327583207
L-sma200-rsi3<15-rsi,L,sma200,3,15,rsi,IS,1121,0.6057091882247992,0.002049827641681257,1.0975394992255172,9.012488849241748,0.2167707404103479,0.008240701001997142,-0.2293010033940709,0.13187810594459934,0.5358465608465609,0.647343048898064
L-sma200-rsi3<15-rsi,L,sma200,3,15,rsi,OOS,1524,0.6502624671916011,0.008859998732792796,1.5262224710908214,9.311679790026247,0.13976377952755906,0.22046283357436391,-0.18008455602202333,1.3213750958544481,0.6540691192865107,0.6729901286339681
L-sma200-rsi3<15-chan,L,sma200,3,15,chan,IS,1125,0.5884444444444444,0.0012894996717554947,1.0611182073102912,9.330666666666668,0.22044444444444444,-0.00979237412926337,-0.236963800845168,0.017619379531455006,0.5522486772486772,0.6399226007918201
L-sma200-rsi3<15-chan,L,sma200,3,15,chan,OOS,1515,0.6211221122112212,0.00950567000057464,1.561161304466395,9.932673267326733,0.1438943894389439,0.28232916310952283,-0.18515065418064247,1.6691920361258472,0.6774804905239689,0.6716960931070863
L-sma200-rsi3<15-sma5+choch,L,sma200,3,15,sma5+choch,IS,1260,0.6142857142857143,0.001773575249292873,1.1469303859145314,4.13968253968254,0.1007936507936508,0.03038082063535441,-0.14703996148367904,0.32471709078508015,0.3457671957671957,0.43386674139971493
